job_id,job_title_original,company,url,raw_description_chinese,languages_required,badge,date_added
1,市場經理,騰訊,https://careers.tencent.com/job/1001,"職位描述：負責市場推廣策略同品牌宣傳，要求粵語流利，英語良好。","粵語,英語",,2026-04-19
2,數據分析師,阿里巴巴,https://careers.alibaba.com/job/1002,"職位描述：負責分析業務數據同整報表，要求普通話良好，英語都要得。","普通話,英語",熱門,2026-04-19
3,軟件工程師,字節跳動,https://jobs.bytedance.com/job/1003,"職位描述：參與後端系統開發同維護，要求英語良好，普通話流利。","英語,普通話",,2026-04-19
4,產品經理,美團,https://zhaopin.meituan.com/job/1004,"職位描述：負責產品規劃同需求分析，要求識粵語同埋英語。","粵語,英語",急請,2026-04-19
5,營運專員,京東,https://careers.jd.com/job/1005,"職位描述：負責平台日常營運同活動執行，要求粵語流利，英語有基礎。","粵語,英語",,2026-04-19
6,客戶服務主任,匯豐銀行,https://www.hsbc.com/careers/job/1006,"職位描述：處理客戶查詢同帳戶服務，要求粵語流利，英語流利，識講普通話更佳。","粵語,英語,普通話",熱門,2026-04-19
7,財務分析師,渣打銀行,https://www.sc.com/careers/job/1007,"職位描述：負責財務報告同預算分析，要求英語流利，識講普通話。","英語,普通話",,2026-04-19
8,人力資源助理,恒生銀行,https://careers.hangseng.com/job/1008,"職位描述：協助招聘、培訓同員工資料管理，要求粵語良好，英語良好。","粵語,英語",,2026-04-19
9,市場推廣專員,小米,https://hr.xiaomi.com/job/1009,"職位描述：負責線上線下推廣活動，要求普通話流利，英語有基礎。","普通話,英語",急請,2026-04-19
10,行政助理,華為,https://career.huawei.com/job/1010,"職位描述：負責辦公室行政支援同文件整理，要求粵語流利，英語良好。","粵語,英語",,2026-04-19
11,前端工程師,商湯科技,https://www.sensetime.com/careers/job/1011,"職位描述：負責網站介面開發同優化，用戶體驗要跟進，要求英語良好。","英語,普通話",,2026-04-19
12,UI設計師,快手,https://career.kuaishou.com/job/1012,"職位描述：負責產品介面設計同視覺素材製作，要求識粵語，英語有基礎。","粵語,英語",熱門,2026-04-19
13,UX研究員,百度,https://talent.baidu.com/job/1013,"職位描述：進行用戶訪談同研究分析，整理改進建議，要求普通話流利。","普通話,英語",,2026-04-19
14,數碼營銷主任,攜程,https://careers.trip.com/job/1014,"職位描述：負責社交媒體投放同廣告成效分析，要求粵語良好，英語良好。","粵語,英語",急請,2026-04-19
15,內容編輯,南華早報,https://careers.scmp.com/job/1015,"職位描述：負責新聞內容編輯同校對，要求中英文寫作能力良好。","粵語,英語",,2026-04-19
16,採購助理,利豐,https://careers.lifung.com/job/1016,"職位描述：協助供應商跟進同採購文件處理，要求粵語流利，普通話良好。","粵語,普通話",,2026-04-19
17,物流協調員,順豐,香港,https://hr.sf-express.com/job/1017,"職位描述：負責物流安排、訂單跟進同跨部門協調，要求粵語流利，普通話良好。","粵語,普通話",熱門,2026-04-19
18,會計文員,德勤,https://careers.deloitte.com/job/1018,"職位描述：協助處理會計入帳、報銷同月結工作，要求英語良好。","英語,粵語",,2026-04-19
19,業務發展主任,安永,https://careers.ey.com/job/1019,"職位描述：負責開拓客戶同跟進合作機會，要求粵語流利，英語流利。","粵語,英語",急請,2026-04-19
20,項目協調員,普華永道,https://www.pwc.com/careers/job/1020,"職位描述：協助項目時間表管理、會議安排同文件跟進，要求中英文良好。","粵語,英語",,2026-04-19
21,資訊科技支援員,國泰航空,https://careers.cathaypacific.com/job/1021,"職位描述：負責內部電腦設備支援同系統故障排查，要求粵語流利，英語良好。","粵語,英語",熱門,2026-04-19
22,機場地勤主任,香港機場管理局,https://careers.hkairport.com/job/1022,"職位描述：負責旅客服務同地面運作支援，要求粵語、英語同普通話。","粵語,英語,普通話",,2026-04-19
23,票務主任,香港快運,https://careers.hkexpress.com/job/1023,"職位描述：處理票務查詢、改票同乘客安排，要求粵語流利，英語良好。","粵語,英語",急請,2026-04-19
24,供應鏈分析師,嘉里物流,https://careers.kerrylogistics.com/job/1024,"職位描述：分析供應鏈流程同成本表現，提出改善建議，要求英語良好。","英語,普通話",,2026-04-19
25,門市主管,周大福,https://careers.ctfjewellery.com/job/1025,"職位描述：負責門市營運、人手安排同銷售目標跟進，要求粵語流利。","粵語,普通話",熱門,2026-04-19
26,電子商務專員,HKTVmall,https://careers.hktvmall.com/job/1026,"職位描述：負責網店商品上架、活動設定同銷售數據分析，要求粵語良好。","粵語,英語",,2026-04-19
27,倉務助理,屈臣氏,https://careers.aswatson.com/job/1027,"職位描述：負責貨品收發、盤點同倉務整理，要求粵語流利。","粵語",急請,2026-04-19
28,品牌助理,莎莎,https://careers.sasa.com/job/1028,"職位描述：協助品牌推廣、活動執行同市場資料整理，要求粵語良好，英語良好。","粵語,英語",,2026-04-19
29,零售培訓主任,優品360,https://careers.bestmart360.com/job/1029,"職位描述：負責前線員工培訓安排同教材整理，要求粵語流利。","粵語,普通話",熱門,2026-04-19
30,平面設計師,牛奶公司,https://careers.dfiretailgroup.com/job/1030,"職位描述：負責宣傳品設計、排版同品牌視覺支援，要求粵語良好，英語有基礎。","粵語,英語",,2026-04-19
31,社交媒體主任,Viu,https://careers.viu.com/job/1031,"職位描述：管理社交平台內容發佈同互動，要求熟悉廣東話網絡用語。","粵語,英語",急請,2026-04-19
32,影片剪接師,電視廣播有限公司,https://careers.tvb.com/job/1032,"職位描述：負責短片剪接、字幕處理同後期製作，要求粵語流利。","粵語,英語",,2026-04-19
33,記者,香港經濟日報,https://careers.hket.com/job/1033,"職位描述：採訪新聞、撰寫稿件同即時更新內容，要求中英文良好。","粵語,英語",熱門,2026-04-19
34,研究助理,香港大學,https://careers.hku.hk/job/1034,"職位描述：協助數據收集、文獻整理同研究報告撰寫，要求英語寫作能力良好。","英語,粵語",,2026-04-19
35,實驗室技術員,香港中文大學,https://career.cuhk.edu.hk/job/1035,"職位描述：負責實驗室設備管理、樣本處理同紀錄更新，要求英語良好。","英語,粵語",急請,2026-04-19
36,學生事務助理,香港科技大學,https://careers.ust.hk/job/1036,"職位描述：支援學生服務櫃位、活動安排同資料輸入，要求粵語流利，英語良好。","粵語,英語",,2026-04-19
37,教學助理,香港理工大學,https://jobs.polyu.edu.hk/job/1037,"職位描述：協助課堂行政、教材整理同學生聯絡，要求中英文良好。","粵語,英語",熱門,2026-04-19
38,圖書館助理,香港城市大學,https://careers.cityu.edu.hk/job/1038,"職位描述：負責書籍上架、借還處理同讀者查詢，要求粵語流利。","粵語,英語",,2026-04-19
39,招生主任,香港浸會大學,https://careers.hkbu.edu.hk/job/1039,"職位描述：處理課程查詢、招生資料同宣傳活動，要求粵語、英語同普通話。","粵語,英語,普通話",急請,2026-04-19
40,校務文員,香港教育大學,https://careers.eduhk.hk/job/1040,"職位描述：負責校務文件、會議安排同日常行政支援，要求粵語良好。","粵語,英語",,2026-04-19
41,客服聊天專員,foodpanda,https://careers.foodpanda.com/job/1041,"職位描述：透過線上聊天處理客戶查詢同投訴，要求打字快，粵語流利。","粵語,英語",熱門,2026-04-19
42,外送營運主任,Deliveroo,https://careers.deliveroo.com/job/1042,"職位描述：跟進外送員安排、餐廳合作同營運數據，要求粵語良好。","粵語,英語",,2026-04-19
43,商戶合作專員,OpenRice,https://careers.openrice.com/job/1043,"職位描述：負責餐廳商戶聯絡、方案介紹同續約跟進，要求粵語流利。","粵語,普通話",急請,2026-04-19
44,App測試員,LINE香港,https://careers.linecorp.com/job/1044,"職位描述：負責手機應用程式測試、問題回報同版本驗證，要求英語良好。","英語,粵語",,2026-04-19
45,網絡安全助理,PCCW,https://careers.pccw.com/job/1045,"職位描述：協助監察安全警報、整理事件紀錄同基本風險分析，要求英語良好。","英語,粵語",熱門,2026-04-19
46,雲端系統管理員,香港寬頻,https://careers.hkbn.net/job/1046,"職位描述：負責伺服器管理、雲端部署同系統監察，要求英語流利。","英語,粵語",,2026-04-19
47,技術銷售顧問,聯想,香港,https://jobs.lenovo.com/job/1047,"職位描述：向企業客戶介紹產品方案同技術優勢，要求粵語流利，英語良好。","粵語,英語",急請,2026-04-19
48,品質保證主任,大疆,https://careers.dji.com/job/1048,"職位描述：負責產品測試流程、問題跟進同品質報告整理，要求普通話良好。","普通話,英語",,2026-04-19
49,採訪助理,鳳凰衛視,https://career.ifeng.com/job/1049,"職位描述：協助外景採訪安排、資料搜集同稿件整理，要求普通話流利，粵語良好。","普通話,粵語",熱門,2026-04-19
50,商業分析主任,港鐵,https://careers.mtr.com.hk/job/1050,"職位描述：負責營運數據分析、報告製作同業務改善建議，要求粵語流利，英語良好。","粵語,英語",,2026-04-19
